GEOID,county,tract,ma_lf_b12,un_w16-50_b12_lf,total_lf_b12
06067008702,067,008702,9,0,9
06067008905,067,008905,14,0,14
06067008908,067,008908,40,0,40
06067008910,067,008910,10,77,87
06067000200,067,000200,50,0,50
06067000400,067,000400,16,0,16
06067004202,067,004202,31,57,88
06067004203,067,004203,10,41,51
06067004300,067,004300,12,14,26
06067005202,067,005202,41,0,41
06067005505,067,005505,0,28,28
06037482702,037,482702,28,0,28
06037500201,037,500201,0,0,0
06037500202,037,500202,0,14,14
06037532304,037,532304,0,7,7
06037532606,037,532606,8,30,38
06037532800,037,532800,5,29,34
06037532900,037,532900,0,68,68
06037603102,037,603102,45,0,45
06037551700,037,551700,10,51,61
06037552100,037,552100,26,13,39
06037552601,037,552601,46,63,109
06001401500,001,401500,4,12,16
06001401700,001,401700,16,11,27
06001402200,001,402200,5,18,23
06037403802,037,403802,39,42,81
06037404901,037,404901,38,11,49
06037405500,037,405500,33,89,122
06037408401,037,408401,12,0,12
06037408402,037,408402,30,25,55
06037430600,037,430600,14,9,23
06037431200,037,431200,27,17,44
06037432402,037,432402,0,0,0
06037124203,037,124203,11,0,11
06037124204,037,124204,13,0,13
06037124902,037,124902,9,0,9
06037124903,037,124903,0,8,8
06037125401,037,125401,47,0,47
06037125402,037,125402,27,10,37
06037125501,037,125501,23,0,23
06037125502,037,125502,0,0,0
06037127103,037,127103,38,18,56
06037127104,037,127104,7,0,7
06037127603,037,127603,38,0,38
06037127604,037,127604,27,0,27
06037127605,037,127605,43,11,54
06037127711,037,127711,0,22,22
06037127606,037,127606,46,0,46
06037127712,037,127712,0,0,0
06037127803,037,127803,31,0,31
06037127804,037,127804,8,0,8
06037127805,037,127805,0,11,11
06037127806,037,127806,18,10,28
06037128101,037,128101,24,21,45
06037980013,037,980013,0,0,0
06037980014,037,980014,0,0,0
06037980015,037,980015,0,0,0
06037980018,037,980018,0,0,0
06037980019,037,980019,0,0,0
06037980020,037,980020,0,0,0
06037980021,037,980021,0,0,0
06037980022,037,980022,0,0,0
06037980023,037,980023,0,0,0
06037980025,037,980025,0,0,0
06037980030,037,980030,0,0,0
06037980031,037,980031,0,0,0
06037980033,037,980033,0,0,0
06037980026,037,980026,0,0,0
06037141101,037,141101,16,0,16
06037141102,037,141102,10,0,10
06037141201,037,141201,0,34,34
06037141202,037,141202,7,8,15
06037141303,037,141303,0,0,0
06037531101,037,531101,0,0,0
06037277400,037,277400,2,0,2
06037291300,037,291300,7,0,7
06037294120,037,294120,16,7,23
06037294520,037,294520,9,20,29
06037294820,037,294820,4,26,30
06037296220,037,296220,13,0,13
06037297300,037,297300,0,0,0
06037300600,037,300600,43,0,43
06037300901,037,300901,0,0,0
06037301100,037,301100,14,43,57
06037302202,037,302202,27,0,27
06037302302,037,302302,15,40,55
06037311300,037,311300,17,0,17
06037320000,037,320000,0,0,0
06037400604,037,400604,50,0,50
06037401203,037,401203,40,32,72
06037401500,037,401500,9,48,57
06037401602,037,401602,11,8,19
06037101110,037,101110,11,0,11
06037103200,037,103200,0,44,44
06037104103,037,104103,0,0,0
06037106603,037,106603,21,0,21
06037108102,037,108102,11,0,11
06037109601,037,109601,28,0,28
06037109700,037,109700,16,0,16
06037111201,037,111201,88,9,97
06037113232,037,113232,30,0,30
06037113422,037,113422,0,21,21
06085505006,085,505006,101,0,101
06085505700,085,505700,70,0,70
06085506103,085,506103,50,0,50
06085506202,085,506202,73,0,73
06085506301,085,506301,36,0,36
06085506302,085,506302,83,0,83
06085506304,085,506304,0,0,0
06085503304,085,503304,63,13,76
06085502906,085,502906,55,0,55
06085503001,085,503001,44,0,44
06085503108,085,503108,22,87,109
06085503312,085,503312,25,33,58
06085503402,085,503402,9,41,50
06085503506,085,503506,53,14,67
06059062604,059,062604,124,0,124
06059062629,059,062629,0,0,0
06059062640,059,062640,17,0,17
06065040402,065,040402,16,0,16
06065040501,065,040501,34,0,34
06065042514,065,042514,13,0,13
06065042404,065,042404,0,0,0
06065042505,065,042505,5,7,12
06065042510,065,042510,10,0,10
06065042518,065,042518,34,39,73
06065042519,065,042519,29,0,29
06065042720,065,042720,54,10,64
06065043006,065,043006,29,27,56
06065043314,065,043314,9,0,9
06085512509,085,512509,32,0,32
06085512510,085,512510,20,54,74
06085512603,085,512603,0,5,5
06085512604,085,512604,40,14,54
06085513000,085,513000,16,20,36
06085513500,085,513500,0,0,0
06037434004,037,434004,12,0,12
06037461501,037,461501,7,0,7
06037460401,037,460401,15,11,26
06037910205,037,910205,0,0,0
06037910302,037,910302,63,0,63
06037920020,037,920020,0,13,13
06037920015,037,920015,17,24,41
06001436900,001,436900,23,9,32
06001437000,001,437000,17,0,17
06001438300,001,438300,33,32,65
06001440304,001,440304,7,0,7
06001441402,001,441402,35,0,35
06001441522,001,441522,36,0,36
06001441800,001,441800,27,0,27
06001441921,001,441921,75,0,75
06001442000,001,442000,18,0,18
06001442100,001,442100,18,0,18
06001442200,001,442200,11,0,11
06001440331,001,440331,9,8,17
06001441302,001,441302,94,10,104
06067009310,067,009310,73,54,127
06067009318,067,009318,19,0,19
06067009610,067,009610,56,56,112
