Date,Month,Year,Total PFL First Claims Filed,Bonding Claims Filed,Care Claims Filed,Total PFL First Claims Paid,Bonding Claims Paid,Care Claims Paid,PFL Average Weekly Benefit Amount (AWBA) ($),Weeks Compensated,Average Duration (weeks),Total Benefits Authorized (millions of $)
12/31/2021,December,2021,32760,27941,4797,27934,18355,3263,784.95,192868,7.03,151390861.0
11/30/2021,November,2021,24949,21233,3692,22463,19478,3014,783.67,170308,7.02,133466136.0
10/31/2021,October,2021,25130,21377,3749,23181,20045,3162,784.51,163206,6.99,128037604.0
09/30/2021,September,2021,27245,22930,4306,24254,20937,3359,795.27,165902,6.96,131937030.0
08/31/2021,August,2021,28214,24043,4167,25314,21961,3394,802.36,172326,6.93,138267413.0
07/31/2021,July,2021,23721,20176,3539,21956,18968,3054,803.46,160566,6.9,129008442.0
06/30/2021,June,2021,25641,21748,3884,23593,20529,3144,795.67,166105,6.67,132165701.0
05/31/2021,May,2021,21812,18228,3583,20415,17616,2883,792.07,141342,6.59,111952878.0
04/30/2021,April,2021,23912,20528,3376,22478,19677,2874,784.91,152317,6.5,119555545.0
03/31/2021,March,2021,23444,19777,3662,21943,18973,3017,775.69,152943,6.45,118636619.0
02/28/2021,February,2021,21238,18306,2930,19947,17524,2449,768.09,143278,6.24,110050017.0
01/31/2021,January,2021,25005,21878,3119,22828,20333,2524,766.08,160014,6.14,122584552.0
12/31/2020,December,2020,26395,21521,4874,24693,20656,4068,757.95,169252,6.02,128285555.0
11/30/2020,November,2020,21318,18451,2867,20268,17754,2526,766.12,144931,5.93,111034725.0
10/31/2020,October,2020,23821,20622,3199,22192,19474,2740,768.81,148774,5.77,114378635.0
09/30/2020,September,2020,25096,21413,3683,22747,19777,3004,772.44,149023,5.67,115111115.0
08/31/2020,August,2020,22511,19383,3128,21074,18685,2490,783.55,135040,5.55,105810265.0
07/31/2020,July,2020,26976,23898,3078,24429,22308,2483,759.55,114587,5.49,87034294.0
06/30/2020,June,2020,18307,15801,2506,17336,15161,2243,734.96,103636,5.61,76168581.0
05/31/2020,May,2020,20001,16996,3005,18916,16244,2739,732.32,109260,5.56,80013695.0
04/30/2020,April,2020,24832,20685,4147,23053,19358,3695,729.16,141354,5.54,103070600.0
03/31/2020,March,2020,30219,25648,4571,27059,23530,3529,721.05,130579,5.48,94154242.0
02/29/2020,February,2020,21199,18117,3082,20596,17842,2754,715.49,121159,5.5,86687911.0
01/31/2020,January,2020,28103,24911,3192,26148,23358,2790,720.0,148027,5.49,106579537.0
12/31/2019,December,2019,25826,22325,3501,24569,21523,3046,704.2,144829,5.5,101988991.0
11/30/2019,November,2019,24673,21214,3459,22578,19813,2768,703.44,115602,5.47,81318598.0
10/31/2019,October,2019,25944,21824,4120,24181,20821,3360,701.36,131938,5.53,92535496.0
09/30/2019,September,2019,26091,22800,3291,24643,21796,2847,704.15,128353,5.53,90380117.0
08/31/2019,August,2019,24356,21297,3059,22972,20177,2795,704.64,127338,5.53,89727380.0
07/31/2019,July,2019,22714,19029,3685,21598,18545,3053,704.83,132079,5.53,93092556.0
06/30/2019,June,2019,23135,19877,3258,21920,18976,2944,695.42,116575,5.49,81068706.0
05/31/2019,May,2019,24879,20930,3949,23611,20199,3412,696.29,129376,5.49,90082823.0
04/30/2019,April,2019,25488,21921,3567,24404,21256,3148,686.84,130930,5.49,89927298.0
03/31/2019,March,2019,26734,22755,3979,24480,21227,3253,683.78,121923,5.5,83368633.0
02/28/2019,February,2019,20709,17879,2830,20138,17555,2583,679.87,117248,5.53,79712588.0
